experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681570432	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"Hiya"	0.473	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681572893	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"Hello there"	1.053	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681575976	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"How are you"	0.79	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681577900	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"Good"	0.385	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681582926	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"Ok so Zorbs have eyes and are birs"	3.392	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681584418	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"great"	0.348	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681585671	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"bye"	0.29	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681587164	explorer	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0	"bye"	0.519	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681678671	explorer	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1	"gasdjfoaisdjf"	0.583	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681737347	explorer	40	"trees with (purple trunks or white leaves) and orange berries"	trees_purple_trunks_or_white_leaves_orange_berries	2	"bpaosdfsadfsf"	1.279	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681889827	explorer	20	"bugs with orange antennae or wings"	bugs_orange_antennae_or_wings	3	"asdf"	0.698	chatMessage
mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681954825	explorer	0	"flowers with orange stems"	flowers_orange_stems	4	"asdf"	0.853	chatMessage
